ID,time,Observation,Observation_simBlq,popPred,indivPredMean,indivPredMode,censored,split,color,filter
25,22,217.333,217.333,13.4131,11.3217,11.0156,0,All,#4682B4,0
25,24,234.968,234.968,16.9879,14.1198,13.7039,0,All,#4682B4,0
25,26,496.419,496.419,21.5087,17.6042,17.0431,0,All,#4682B4,0
25,28,696.513,696.513,27.233,21.9485,21.196,0,All,#4682B4,0
25,30,558.094,558.094,34.4804,27.3648,26.3609,0,All,#4682B4,0
25,32,778.911,778.911,43.656,34.117,32.7836,0,All,#4682B4,0
25,34,1435.82,1435.82,55.2734,42.5355,40.7714,0,All,#4682B4,0
25,36,1877.42,1877.42,69.9834,53.0328,50.7067,0,All,#4682B4,0
25,38,2219.14,2219.14,88.6094,66.1189,63.0615,0,All,#4682B4,0
26,22,136.022,136.022,13.4131,10.3743,10.1808,0,All,#4682B4,0
26,24,234.967,234.967,16.9879,12.8358,12.5748,0,All,#4682B4,0
26,26,336.306,336.306,21.5087,15.8768,15.5274,0,All,#4682B4,0
26,28,548.517,548.517,27.233,19.6381,19.173,0,All,#4682B4,0
26,30,616.095,616.095,34.4804,24.2905,23.6747,0,All,#4682B4,0
26,32,803.809,803.809,43.656,30.0445,29.2328,0,All,#4682B4,0
26,34,964.06,964.06,55.2734,37.1619,36.096,0,All,#4682B4,0
26,36,1299.3,1299.3,69.9834,45.9658,44.5709,0,All,#4682B4,0
26,38,1326.3,1326.3,88.6094,56.8546,55.0351,0,All,#4682B4,0
27,14,272.653,272.653,5.21933,5.76861,5.70526,0,All,#4682B4,0
27,16,429.731,429.731,6.61039,7.41124,7.31829,0,All,#4682B4,0
27,19,616.786,616.786,9.41766,10.7875,10.627,0,All,#4682B4,0
27,21,755.993,755.993,11.9239,13.855,13.6274,0,All,#4682B4,0
27,23,963.317,963.317,15.0971,17.7945,17.4746,0,All,#4682B4,0
27,26,1139.88,1139.88,21.5082,25.9009,25.3751,0,All,#4682B4,0
27,28,960.132,960.132,27.2322,33.2658,32.5391,0,All,#4682B4,0
27,30,1208.12,1208.12,34.48,42.7252,41.7261,0,All,#4682B4,0
27,33,1615.89,1615.89,49.1227,62.1885,60.5907,0,All,#4682B4,0
27,34,1698.66,1698.66,55.273,70.4787,68.6135,0,All,#4682B4,0
28,14,238.706,238.706,5.21933,5.30632,5.24245,0,All,#4682B4,0
28,16,346.218,346.218,6.61039,6.73645,6.64387,0,All,#4682B4,0
28,19,534.13,534.13,9.41766,9.63131,9.47433,0,All,#4682B4,0
28,21,585.63,585.63,11.9239,12.2233,12.0033,0,All,#4682B4,0
28,23,666.695,666.695,15.0971,15.5127,15.2071,0,All,#4682B4,0
28,26,947.3,947.3,21.5082,22.1788,21.6855,0,All,#4682B4,0
28,28,653.934,653.934,27.2322,28.1475,27.474,0,All,#4682B4,0
28,30,1036.18,1036.18,34.48,35.7233,34.8082,0,All,#4682B4,0
28,33,1131.25,1131.25,49.1227,51.0745,49.6373,0,All,#4682B4,0
28,34,1180.89,1180.89,55.273,57.5371,55.8696,0,All,#4682B4,0
29,14,285.405,285.405,5.21933,5.61461,5.58286,0,All,#4682B4,0
29,16,330.377,330.377,6.61039,7.18556,7.13914,0,All,#4682B4,0
29,19,467.478,467.478,9.41766,10.3985,10.3188,0,All,#4682B4,0
29,21,730.635,730.635,11.9239,13.3039,13.1912,0,All,#4682B4,0
29,23,901.192,901.192,15.0971,17.0208,16.863,0,All,#4682B4,0
29,26,1010.45,1010.45,21.5082,24.6314,24.3734,0,All,#4682B4,0
