ID,time,pop,popPred,indivPredMean,indivPredMode
1,28.7266,29.6674,29.6674,29.98,28.9462
1,28.8,29.9254,29.9254,30.2415,29.1961
1,28.8129,29.9708,29.9708,30.2875,29.2401
1,28.88,30.2092,30.2092,30.5292,29.471
1,28.8994,30.2783,30.2783,30.5992,29.5378
1,28.96,30.4957,30.4957,30.8196,29.7484
1,28.9861,30.5898,30.5898,30.915,29.8395
1,29.04,30.7849,30.7849,31.1128,30.0285
1,29.0731,30.9055,30.9055,31.2351,30.1452
1,29.12,31.0769,31.0769,31.4088,30.3112
1,29.1604,31.2254,31.2254,31.5594,30.455
1,29.2,31.3717,31.3717,31.7076,30.5966
1,29.2479,31.5497,31.5497,31.8881,30.7689
1,29.28,31.6692,31.6692,32.0093,30.8847
1,29.3358,31.8782,31.8782,32.2212,31.087
1,29.36,31.9695,31.9695,32.3138,31.1754
1,29.4238,32.2112,32.2112,32.5588,31.4094
1,29.44,32.2727,32.2727,32.6212,31.469
1,29.5122,32.5487,32.5487,32.901,31.736
1,29.52,32.5788,32.5788,32.9315,31.7652
1,29.6,32.8878,32.8878,33.2448,32.0643
1,29.6007,32.8907,32.8907,33.2478,32.0671
1,29.68,33.1996,33.1996,33.5611,32.3661
1,29.6896,33.2373,33.2373,33.5992,32.4026
1,29.76,33.5145,33.5145,33.8803,32.6708
1,29.7787,33.5886,33.5886,33.9555,32.7426
1,29.84,33.8322,33.8322,34.2025,32.9783
1,29.8681,33.9447,33.9447,34.3166,33.0872
1,29.92,34.153,34.153,34.5278,33.2887
1,29.9578,34.3056,34.3056,34.6826,33.4364
1,30,34.4768,34.4768,34.8562,33.6021
1,30.0477,34.6715,34.6715,35.0536,33.7904
1,30.08,34.8037,34.8037,35.1877,33.9183
1,30.1379,35.0424,35.0424,35.4298,34.1493
1,30.16,35.1337,35.1337,35.5224,34.2376
1,30.2284,35.4184,35.4184,35.8111,34.513
1,30.24,35.4668,35.4668,35.8603,34.5599
1,30.3192,35.7996,35.7996,36.1978,34.8818
1,30.32,35.8031,35.8031,36.2013,34.8852
1,30.4,36.1426,36.1426,36.5457,35.2135
1,30.4102,36.1861,36.1861,36.5897,35.2556
1,30.48,36.4853,36.4853,36.8933,35.545
1,30.5015,36.5779,36.5779,36.9872,35.6345
1,30.56,36.8313,36.8313,37.2442,35.8796
1,30.593,36.9752,36.9752,37.3901,36.0187
1,30.64,37.1805,37.1805,37.5985,36.2173
1,30.6849,37.378,37.378,37.7987,36.4082
1,30.72,37.5331,37.5331,37.9561,36.5582
1,30.777,37.7864,37.7864,38.213,36.8031
1,30.8,37.889,37.889,38.3171,36.9024
1,30.8694,38.2005,38.2005,38.6331,37.2035
1,30.88,38.2483,38.2483,38.6816,37.2497
1,30.96,38.611,38.611,39.0496,37.6004
1,30.9621,38.6204,38.6204,39.0591,37.6095
1,31.04,38.9772,38.9772,39.421,37.9544
1,31.055,39.0463,39.0463,39.4911,38.0212
