ID,time,Observation,median,piLower,piUpper,censored
36,32,1008.22,8.13518,-3133.82,3383.32,0
36,33,1202.47,11.3847,-3508.24,3293.97,0
36,34,1290.37,103.724,-3603.56,4031.03,0
37,11,126.3,13.9394,-219.404,241.814,0
37,12,122.66,10.1712,-253.074,253.096,0
37,13,171.06,13.8627,-304.697,297.446,0
37,14,163.95,0.606273,-312.259,320.327,0
37,17,297.03,4.78534,-466.894,471.091,0
37,18,464.41,-1.6489,-508.998,510.422,0
37,19,522.28,-8.7703,-568.853,644.211,0
37,20,602.73,-6.71482,-688.369,715.864,0
37,25,786.51,32.6179,-1127.13,1248.98,0
37,26,1069.2,96.902,-1356.74,1457.5,0
37,27,948.56,41.5744,-1606.88,1647.61,0
37,28,1042.96,8.97471,-1824.79,1906.58,0
37,32,1250.61,-0.0340166,-2764.61,2624.31,0
37,33,1353.69,-179.015,-3370.87,3415.11,0
37,34,1514.43,-216.528,-3705.13,3871.56,0
38,11,109.08,16.1348,-195.765,247.018,0
38,12,161.68,11.4878,-238.386,288.261,0
38,13,275.71,10.6339,-301.013,281.741,0
38,14,231.21,5.0532,-321.273,357.062,0
38,17,299.63,13.9139,-444.692,463.337,0
38,18,455.69,-0.476982,-509.897,489.855,0
38,19,540,19.6863,-580.28,567.582,0
38,20,713.76,-6.50717,-677.165,618.6,0
38,25,723.82,16.8407,-1313.22,1329.02,0
38,26,819.05,-10.8512,-1457.25,1416.08,0
38,27,791.57,-34.459,-1451.52,1622.8,0
38,28,681.34,62.1442,-1677.16,1962.05,0
38,32,999.44,217.154,-2872.5,2951.01,0
38,33,1067.65,0.419334,-3602.72,3052.56,0
38,34,1132.16,50.7048,-3620.73,3694.63,0
39,11,43.58,1.86422,-243.818,224.689,0
39,12,79.58,7.24577,-254.73,263.754,0
39,13,76.32,11.2806,-269.99,304.422,0
39,14,92.2,3.75571,-313.966,286.84,0
39,17,218.51,7.07427,-428.772,488.807,0
