pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
0.640208,0.290816,0.757178,0.290816,0.696702,0.290816,All
0.641579,0.292517,0.757331,0.292517,0.697712,0.292517,All
0.645463,0.294218,0.760013,0.294218,0.699568,0.294218,All
0.645519,0.295918,0.761092,0.295918,0.699708,0.295918,All
0.647872,0.297619,0.761106,0.297619,0.700165,0.297619,All
0.648168,0.29932,0.764118,0.29932,0.70039,0.29932,All
0.651763,0.30102,0.764507,0.30102,0.701461,0.30102,All
0.655471,0.302721,0.764794,0.302721,0.701782,0.302721,All
0.656629,0.304422,0.765694,0.304422,0.70231,0.304422,All
0.65714,0.306122,0.765703,0.306122,0.704779,0.306122,All
0.658176,0.307823,0.767014,0.307823,0.704894,0.307823,All
0.659327,0.309524,0.767066,0.309524,0.708509,0.309524,All
0.660436,0.311224,0.767322,0.311224,0.709664,0.311224,All
0.660872,0.312925,0.767897,0.312925,0.710645,0.312925,All
0.662068,0.314626,0.768722,0.314626,0.711458,0.314626,All
0.663264,0.316327,0.769474,0.316327,0.711916,0.316327,All
0.664527,0.318027,0.772391,0.318027,0.712204,0.318027,All
0.665086,0.319728,0.772713,0.319728,0.713998,0.319728,All
0.66562,0.321429,0.772803,0.321429,0.718047,0.321429,All
0.665928,0.323129,0.773846,0.323129,0.721546,0.323129,All
0.666041,0.32483,0.774471,0.32483,0.727906,0.32483,All
0.668134,0.326531,0.774625,0.326531,0.736323,0.326531,All
0.669022,0.328231,0.776795,0.328231,0.736712,0.328231,All
0.672098,0.329932,0.782938,0.329932,0.737318,0.329932,All
0.673035,0.331633,0.783747,0.331633,0.740002,0.331633,All
0.673528,0.333333,0.786191,0.333333,0.740415,0.333333,All
0.675429,0.335034,0.791765,0.335034,0.744874,0.335034,All
0.676371,0.336735,0.791958,0.336735,0.747553,0.336735,All
0.680391,0.338435,0.796084,0.338435,0.748466,0.338435,All
0.681041,0.340136,0.796205,0.340136,0.749856,0.340136,All
0.682343,0.341837,0.797349,0.341837,0.749912,0.341837,All
0.683123,0.343537,0.798279,0.343537,0.750321,0.343537,All
0.684201,0.345238,0.798603,0.345238,0.751075,0.345238,All
0.684228,0.346939,0.798609,0.346939,0.75147,0.346939,All
0.684574,0.348639,0.800622,0.348639,0.751572,0.348639,All
0.690248,0.35034,0.800644,0.35034,0.751574,0.35034,All
0.691954,0.352041,0.804459,0.352041,0.752068,0.352041,All
0.691976,0.353741,0.805666,0.353741,0.752074,0.353741,All
0.693591,0.355442,0.806253,0.355442,0.75235,0.355442,All
0.694544,0.357143,0.806459,0.357143,0.752645,0.357143,All
0.698725,0.358844,0.80701,0.358844,0.752652,0.358844,All
0.698853,0.360544,0.808645,0.360544,0.752932,0.360544,All
0.699629,0.362245,0.811167,0.362245,0.756037,0.362245,All
0.702098,0.363946,0.813756,0.363946,0.75672,0.363946,All
