ID,time,prediction_pwRes,pwRes,pwRes_simBlq,prediction_iwRes_mean,iwRes_mean,iwRes_mean_simBlq,prediction_iwRes_mode,iwRes_mode,iwRes_mode_simBlq,prediction_npde,npde,npde_simBlq,censored,split,color,filter
13,22,13.4131,0.57302,0.57302,11.9596,0.751249,0.751249,11.755,0.764794,0.764794,13.4131,0.596076,0.596076,0,All,#4682B4,0
13,24,16.9879,0.924548,0.924548,14.9899,1.15269,1.15269,14.7103,1.17511,1.17511,16.9879,0.982553,0.982553,0,All,#4682B4,0
13,27,24.2023,0.665928,0.665928,21.0245,0.789535,0.789535,20.5839,0.80701,0.80701,24.2023,0.713998,0.713998,0,All,#4682B4,0
13,28,27.233,0.668134,0.668134,23.5342,0.857656,0.857656,23.0229,0.877299,0.877299,27.233,0.710645,0.710645,0,All,#4682B4,0
13,32,43.656,0.609499,0.609499,36.9481,0.804608,0.804608,36.0323,0.825743,0.825743,43.656,0.676107,0.676107,0,All,#4682B4,0
13,34,55.2734,0.364266,0.364266,46.2952,0.539235,0.539235,45.0769,0.554535,0.554535,55.2734,0.448775,0.448775,0,All,#4682B4,0
13,36,69.9834,0.443223,0.443223,58.0088,0.614073,0.614073,56.3936,0.632429,0.632429,69.9834,0.488927,0.488927,0,All,#4682B4,0
14,22,13.4131,0.542804,0.542804,11.651,0.689305,0.689305,11.7137,0.68547,0.68547,13.4131,0.58074,0.58074,0,All,#4682B4,0
14,24,16.9879,1.02528,1.02528,14.5684,1.19744,1.19744,14.6539,1.19029,1.19029,16.9879,1.06462,1.06462,0,All,#4682B4,0
14,27,24.2023,0.655471,0.655471,20.3606,0.743576,0.743576,20.4952,0.738517,0.738517,24.2023,0.709664,0.709664,0,All,#4682B4,0
14,28,27.233,0.683123,0.683123,22.764,0.876001,0.876001,22.9201,0.869853,0.869853,27.233,0.761523,0.761523,0,All,#4682B4,0
14,32,43.656,0.581628,0.581628,35.5695,0.802658,0.802658,35.8483,0.796205,0.796205,43.656,0.711458,0.711458,0,All,#4682B4,0
14,34,55.2734,0.564587,0.564587,44.4621,0.705336,0.705336,44.8325,0.699286,0.699286,55.2734,0.640261,0.640261,0,All,#4682B4,0
14,36,69.9834,0.449195,0.449195,55.5795,0.600465,0.600465,56.0699,0.594978,0.594978,69.9834,0.539732,0.539732,0,All,#4682B4,0
15,22,13.4131,0.559674,0.559674,12.1971,0.6551,0.6551,12.0317,0.664478,0.664478,13.4131,0.644608,0.644608,0,All,#4682B4,0
15,24,16.9879,1.05636,1.05636,15.315,1.24819,1.24819,15.0885,1.26733,1.26733,16.9879,1.18578,1.18578,0,All,#4682B4,0
15,27,24.2023,0.672098,0.672098,21.5382,0.810004,0.810004,21.1802,0.824149,0.824149,24.2023,0.704779,0.704779,0,All,#4682B4,0
15,28,27.233,0.748234,0.748234,24.1307,0.942349,0.942349,23.7149,0.959343,0.959343,27.233,0.852808,0.852808,0,All,#4682B4,0
15,32,43.656,0.57779,0.57779,38.0204,0.758709,0.758709,37.2726,0.774471,0.774471,43.656,0.67883,0.67883,0,All,#4682B4,0
15,34,55.2734,0.564873,0.564873,47.724,0.743579,0.743579,46.7273,0.760013,0.760013,55.2734,0.613906,0.613906,0,All,#4682B4,0
15,36,69.9834,0.429624,0.429624,59.9059,0.586909,0.586909,58.5821,0.60078,0.60078,69.9834,0.492568,0.492568,0,All,#4682B4,0
16,7,2.28534,1.11801,1.11801,2.50174,1.00652,1.00652,2.50073,1.00694,1.00694,2.28534,1.15349,1.15349,0,All,#4682B4,0
16,10,3.25687,1.40912,1.40912,3.70623,1.31359,1.31359,3.70409,1.31436,1.31436,3.25687,1.37867,1.37867,0,All,#4682B4,0
16,11,3.6647,1.2614,1.2614,4.22458,1.12699,1.12699,4.2219,1.12772,1.12772,3.6647,1.2579,1.2579,0,All,#4682B4,0
16,13,4.64001,1.92335,1.92335,5.4889,1.63052,1.63052,5.48478,1.63176,1.63176,4.64001,1.81589,1.81589,0,All,#4682B4,0
16,15,5.87482,1.6573,1.6573,7.13154,1.37531,1.37531,7.12538,1.37653,1.37653,5.87482,1.69338,1.69338,0,All,#4682B4,0
16,17,7.43818,2.04014,2.04014,9.26576,1.65101,1.65101,9.25668,1.65266,1.65266,7.43818,1.85105,1.85105,0,All,#4682B4,0
16,19,9.41758,2.12365,2.12365,12.039,1.68448,1.68448,12.0258,1.68636,1.68636,9.41758,2.08968,2.08968,0,All,#4682B4,0
16,21,11.9239,1.56578,1.56578,15.642,1.24497,1.24497,15.6231,1.24651,1.24651,11.9239,1.54625,1.54625,0,All,#4682B4,0
16,24,16.9877,1.14693,1.14693,23.1659,0.945043,0.945043,23.1338,0.946389,0.946389,16.9877,1.24334,1.24334,0,All,#4682B4,0
16,27,24.2018,1.00675,1.00675,34.3084,0.771559,0.771559,34.255,0.772803,0.772803,24.2018,1.09957,1.09957,0,All,#4682B4,0
17,7,2.28534,0.379191,0.379191,2.4261,0.371703,0.371703,2.44692,0.368312,0.368312,2.28534,0.396246,0.396246,0,All,#4682B4,0
17,10,3.25687,1.10745,1.10745,3.5472,0.995377,0.995377,3.59076,0.982976,0.982976,3.25687,1.08099,1.08099,0,All,#4682B4,0
17,11,3.6647,1.37927,1.37927,4.02561,1.33942,1.33942,4.08002,1.32119,1.32119,3.6647,1.50519,1.50519,0,All,#4682B4,0
17,13,4.64001,1.11871,1.11871,5.18474,1.11545,1.11545,5.26765,1.09747,1.09747,4.64001,1.15575,1.15575,0,All,#4682B4,0
17,15,5.87482,1.41292,1.41292,6.67753,1.29893,1.29893,6.8009,1.27488,1.27488,5.87482,1.36314,1.36314,0,All,#4682B4,0
